timestamp,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,ES_SENSOR_KB_SENT,ES_SENSOR_KB_RECV
1649256571,6,0,0,2946008,27596,867508,0,0,5,7,197,218,3,21,75,1,0,15.3039,0.979688
1649256581,6,0,0,2946492,27604,867536,0,0,5,7,206,241,3,21,75,1,0,15.5053,0.992578
1649256591,3,0,0,2946352,27608,867528,0,0,5,7,214,264,3,21,75,1,0,15.5053,0.992578
1649256601,4,0,0,2946112,27616,867528,0,0,5,7,222,286,3,21,75,1,0,19.1299,1.21172
1649256611,5,0,0,2945848,27624,867520,0,0,5,7,230,308,3,21,75,1,0,15.5053,0.992578
1649256621,1,0,0,2947140,27632,867520,0,0,5,7,239,331,3,21,75,1,0,18.9285,1.19883
1649256631,4,0,0,2947896,27636,867520,0,0,5,7,248,355,3,21,75,1,0,18.9285,1.21172
1649256641,8,0,0,2947872,27640,867520,0,0,5,7,257,377,3,21,75,1,0,15.3039,0.992578
1649256651,3,0,0,2948304,27648,867512,0,0,5,7,267,402,3,21,75,1,0,15.7066,0.992578
1649256661,3,0,0,2948188,27656,867512,0,0,5,7,275,424,3,21,75,1,0,15.5053,0.979688
1649256671,4,0,0,2946984,27660,867532,0,0,5,7,283,446,3,21,75,1,0,15.5053,0.992578
1649256681,3,0,0,2947528,27668,867528,0,0,5,7,292,469,3,21,75,1,0,15.5053,0.992578
1649256691,6,0,0,2947896,27672,867512,0,0,5,7,301,493,3,21,75,1,0,15.7066,1.00547
1649256701,2,0,0,2947824,27680,867512,0,0,5,7,311,516,3,21,75,1,0,15.3039,0.979688
1649256711,4,0,0,2948068,27688,867512,0,0,5,7,319,539,3,21,75,1,0,18.9285,1.21172
1649256721,8,0,0,2947856,27692,867536,0,0,5,7,328,562,3,21,75,1,0,15.3039,0.979688
1649256731,7,0,0,2947864,27696,867536,0,0,5,7,338,586,3,21,75,1,0,19.1299,1.21172
1649256741,7,0,0,2948192,27700,867520,0,0,5,7,346,608,3,21,75,1,0,15.3039,0.992578
1649256751,4,0,0,2948408,27708,867520,0,0,5,7,354,630,3,21,75,1,0,15.3039,0.979688
1649256761,2,0,0,2948424,27712,867512,0,0,5,7,364,654,3,21,75,1,0,18.9285,1.21172
1649256771,2,0,0,2948776,27716,867512,0,0,5,7,373,678,3,21,75,1,0,15.3039,0.979688
1649256781,2,0,0,2948564,27720,867520,0,0,5,7,383,701,3,21,75,1,0,19.1299,1.21172
1649256791,2,0,0,2948532,27728,867528,0,0,5,7,392,6,3,21,75,1,0,15.7066,1.00547
1649256801,3,0,0,2947776,27736,867528,0,0,5,7,402,30,3,21,75,1,0,15.5053,1.00547
1649256811,5,0,0,2948400,27740,867528,0,0,5,7,411,53,3,21,75,1,0,15.5053,0.992578
1649256821,6,0,0,2948312,27748,867528,0,0,5,7,419,77,3,21,75,1,0,15.5053,0.992578
1649256831,7,0,0,2948584,27752,867528,0,0,4,7,426,98,3,21,75,1,0,19.1299,1.22461
1649256841,3,0,0,2947916,27760,867528,0,0,4,7,436,121,3,21,75,1,0,18.9285,1.21172
1649256851,8,0,0,2948240,27768,867528,0,0,4,7,445,145,3,21,75,1,0,15.5053,0.992578
1649256861,6,0,0,2947952,27772,867528,0,0,4,7,454,168,3,21,75,1,0,15.5053,0.992578
1649256871,5,0,0,2948156,27776,867528,0,0,4,7,464,192,3,21,75,1,0,15.5053,0.992578
1649256881,3,0,0,2948528,27780,867512,0,0,4,7,473,216,3,21,75,1,0,15.5053,0.992578
1649256891,3,0,0,2947832,27788,867512,0,0,4,7,482,239,3,21,75,1,0,15.3039,0.992578
1649256901,3,0,0,2947888,27792,867520,0,0,4,7,492,263,3,21,75,1,0,15.5053,0.992578
1649256911,3,0,0,2947712,27796,867528,0,0,4,7,500,285,3,21,75,1,0,19.1299,1.21172
1649256921,6,0,0,2947328,27800,867528,0,0,4,7,509,309,3,21,75,1,0,15.3039,0.979688
1649256931,5,0,0,2947792,27808,867520,0,0,4,7,518,332,3,21,75,1,0,15.5053,0.992578
1649256941,4,0,0,2948464,27816,867512,0,0,4,7,528,356,3,21,75,1,0,18.9285,1.19883
1649256951,5,0,0,2948488,27820,867512,0,0,4,7,535,378,3,21,75,1,0,15.5053,0.992578
1649256961,6,0,0,2947840,27824,867512,0,0,4,7,542,399,3,21,75,1,0,15.3039,0.992578
1649256971,3,0,0,2947108,27832,867524,0,0,4,7,549,420,3,21,75,1,0,15.5053,0.992578
1649256981,4,0,0,2947264,27840,867544,0,0,4,7,557,442,3,21,75,1,0,15.5053,0.992578
1649256991,5,0,0,2947900,27844,867552,0,0,4,7,567,465,3,21,75,1,0,15.5053,0.992578
1649257001,2,0,0,2948052,27852,867552,0,0,4,7,576,488,3,21,75,1,0,15.7066,1.00547
1649257011,2,0,0,2947868,27856,867552,0,0,4,7,584,510,3,21,75,1,0,15.3039,0.979688
1649257021,5,0,0,2947776,27864,867552,0,0,4,7,593,533,3,21,75,1,0,15.3039,0.992578
1649257031,3,0,0,2947744,27872,867552,0,0,4,7,601,555,3,21,75,1,0,19.1299,1.21172
1649257041,3,0,0,2947508,27880,867552,0,0,4,7,609,577,3,21,75,1,0,15.7066,1.00547
1649257051,2,0,0,2947888,27884,867544,0,0,4,7,618,601,3,21,75,1,0,15.5053,0.992578
1649257061,5,0,0,2947488,27892,867548,0,0,4,7,627,624,3,21,75,1,0,15.3039,0.979688
