timestamp,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,ES_SENSOR_KB_SENT,ES_SENSOR_KB_RECV
1649677733,5,0,0,3590412,17612,225080,0,0,0,0,54096,138870,6,17,77,0,0,15.5053,0.992578
1649677747,5,0,0,3588372,17628,225052,0,0,0,18,58117,142737,2,18,79,0,0,15.3039,0.953906
1649677762,5,0,0,3589488,17636,225104,0,0,0,0,50279,133064,5,19,76,0,0,15.3039,0.979688
1649677777,1,0,0,3587916,17652,225272,0,0,0,0,43699,125282,2,18,81,0,0,15.3039,0.992578
1649677791,4,0,0,3587988,17660,225280,0,0,0,0,59565,146059,2,19,79,0,0,18.9285,1.21172
1649677805,0,0,0,3588028,17676,225268,0,0,0,0,43929,128231,1,20,80,0,0,15.7066,1.00547
1649677819,2,0,0,3589996,17692,225276,0,0,0,30,58498,143280,2,22,76,0,0,15.4924,0.979688
1649677833,2,0,0,3589980,17692,225284,0,0,0,0,33997,116329,5,22,72,0,0,15.5053,0.992578
1649677847,2,0,0,3589768,17700,225284,0,0,0,6,44033,130106,2,17,81,0,0,15.1025,0.966797
1649677861,3,0,0,3589408,17708,225236,0,0,0,0,46649,130439,1,20,78,0,0,19.1299,1.22461
1649677875,2,0,0,3588436,17716,225284,0,0,0,0,43916,125001,3,19,78,0,0,15.5053,0.992578
1649677889,4,0,0,3587416,17860,225208,0,0,62,0,58236,143252,2,22,76,0,0,15.3039,0.966797
1649677903,2,0,0,3586848,17872,225376,0,0,0,0,57360,142301,6,15,79,0,0,15.5053,0.992578
1649677917,2,0,0,3588012,17880,225344,0,0,0,0,58536,143952,1,32,67,0,0,15.3039,0.979688
1649677931,4,0,0,3587680,17892,225424,0,0,0,0,58514,144062,2,25,73,0,0,15.5053,0.992578
1649677945,1,0,0,3586672,17900,225424,0,0,0,0,59050,144140,1,22,77,0,0,15.3039,0.979688
1649677959,5,0,0,3586484,17912,225488,0,0,0,0,58555,143922,2,21,77,0,0,15.5053,0.966797
1649677973,3,0,0,3586544,17920,225356,0,0,0,0,56056,138926,6,25,69,0,0,15.5053,0.992578
1649677987,4,0,0,3586520,17928,225404,0,0,0,0,57617,142127,2,23,75,0,0,14.6998,0.941016
1649678001,2,0,0,3585788,17944,225460,0,0,0,0,57745,142656,2,22,75,0,0,15.5053,0.992578
1649678015,3,0,0,3584636,17960,225452,0,0,0,0,57865,142762,2,24,74,0,0,15.5053,0.992578
1649678029,5,0,0,3582984,18416,226716,0,0,0,0,57889,142846,2,21,77,0,0,14.6998,0.928125
1649678043,4,0,0,3583528,18432,226760,0,0,0,0,55481,138437,5,18,77,0,0,15.3039,0.979688
1649678057,1,0,0,3577832,18460,228084,0,0,0,0,16401,40435,14,10,76,0,0,8.05469,0.528516
1649678071,1,0,0,3584304,18476,228068,0,0,0,2,57631,142306,2,23,75,0,0,15.5053,0.992578
1649678085,0,0,0,3583332,18476,228068,0,0,0,0,43532,127123,2,22,76,0,0,15.5053,0.979688
1649678099,2,0,0,3583192,18488,228068,0,0,0,0,58141,142476,3,19,78,0,0,15.3039,0.979688
1649678113,4,0,0,3583160,18496,228076,0,0,0,0,42460,125610,6,19,74,0,0,15.3039,0.979688
1649678127,1,0,0,3583168,18504,228092,0,0,0,0,57526,141937,2,24,74,0,0,14.4984,0.928125
1649678141,0,0,0,3584504,18512,228092,0,0,0,0,42669,126420,2,23,76,0,0,15.3039,0.979688
1649678155,2,0,0,3583384,18520,228080,0,0,0,0,57922,143539,1,21,78,0,0,15.3039,0.979688
1649678169,4,0,0,3582884,18528,228080,0,0,0,0,58511,143404,2,20,79,0,0,15.5053,0.992578
1649678183,3,0,0,3582632,18536,228080,0,0,0,0,56691,139634,6,21,73,0,0,15.5053,0.992578
1649678197,4,0,0,3583572,18544,228092,0,0,0,0,58230,143556,1,22,76,0,0,15.3039,0.979688
1649678211,3,0,0,3583572,18552,228092,0,0,0,0,57323,141820,3,19,79,0,0,15.5053,0.979688
1649678225,4,0,0,3582848,18560,228092,0,0,0,0,43103,127455,2,22,76,0,0,15.5053,0.992578
1649678239,0,0,0,3583604,18568,228092,0,0,0,0,42898,127064,2,21,77,0,0,15.5053,0.966797
1649678253,5,0,0,3582296,18576,228112,0,0,0,0,52886,137502,9,17,75,0,0,19.1299,1.21172
1649678267,3,0,0,3582864,18584,228108,0,0,0,0,58142,142306,3,22,76,0,0,14.6998,0.941016
1649678281,4,0,0,3583700,18592,228100,0,0,0,0,57516,142600,1,21,78,0,0,15.3039,0.992578
1649678295,2,0,0,3582432,18600,228100,0,0,0,0,57901,143484,1,21,78,0,0,15.3039,0.979688
1649678309,2,0,0,3582992,18608,228100,0,0,0,0,47124,139049,2,12,86,0,0,14.4984,0.928125
1649678323,4,0,0,3583000,18616,228096,0,0,0,0,56815,138623,6,20,74,0,0,15.5053,0.992578
1649678337,1,0,0,3582996,18624,228096,0,0,0,0,57279,141871,3,23,74,0,0,15.3039,0.979688
