timestamp,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,ES_SENSOR_KB_SENT,ES_SENSOR_KB_RECV
1649669018,1,0,0,3243360,26936,553792,0,0,0,0,56574,137318,4,24,71,0,0,
1649669022,3,1,0,3243864,26940,553792,0,0,0,16,57593,142292,1,23,68,9,0,
1649669028,3,0,0,3243328,26944,553792,0,0,0,0,47322,128285,4,23,73,0,0,
1649669032,4,0,0,3243832,26952,553792,0,0,0,0,43224,126490,1,22,77,0,0,
1649669036,3,0,0,3243824,26960,553792,0,0,0,6,58003,142519,2,26,73,0,0,
1649669040,4,0,0,3243320,26960,553792,0,0,0,0,57871,143348,1,21,78,0,0,
1649669044,2,0,0,3242188,26968,553800,0,0,0,0,50631,134663,4,21,75,0,0,
1649669048,2,0,0,3242824,26972,553796,0,0,0,18,59297,145751,5,14,81,0,0,
1649669052,2,0,0,3228012,26980,553836,0,0,88,14,45999,132601,19,22,59,0,0,
1649669056,4,1,0,3231540,26984,554028,0,0,0,0,58322,142869,1,22,63,13,0,
1649669073,2,0,0,3241368,27196,554404,0,0,0,20,58424,143127,2,18,80,0,0,15.1025,0.966797
1649669087,3,0,0,3240968,27204,554400,0,0,0,0,44040,128266,2,19,79,0,0,15.5053,0.992578
1649669101,2,0,0,3239232,27208,554420,0,0,0,0,58141,142549,3,20,77,0,0,15.5053,0.992578
1649669115,4,0,0,3240184,27212,554368,0,0,0,0,43461,127373,2,22,76,0,0,15.5053,0.992578
1649669129,2,0,0,3239632,27216,554456,0,0,0,0,56518,137781,5,23,71,0,0,15.5053,0.992578
1649669143,2,0,0,3244964,27224,554456,0,0,0,0,58229,142936,2,24,74,0,0,15.3039,0.979688
1649669157,0,0,0,3245672,27236,554460,0,0,0,6,43846,129012,2,20,78,0,0,15.7066,0.979688
1649669171,5,3,0,3246264,27244,554392,0,0,0,10,59508,146880,3,19,32,47,0,14.6998,0.941016
