timestamp,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,ES_SENSOR_KB_SENT,ES_SENSOR_KB_RECV
1649336085,1,0,0,3302368,2296,519852,0,0,0,0,57488,142437,2,25,73,0,0,15.5053,0.992578
1649336099,4,0,0,3301504,2312,519844,0,0,4,24,56417,144144,5,17,78,0,0,18.9285,1.21172
1649336113,2,0,0,3301384,2364,519816,0,0,0,0,58495,143254,2,22,77,0,0,14.6998,0.953906
1649336127,2,0,0,3294164,2372,528004,0,0,0,0,43234,126646,2,23,75,0,0,19.1299,1.21172
1649336141,4,0,0,3293536,2380,528004,0,0,0,0,43591,128876,2,20,78,0,0,15.5053,0.992578
1649336155,2,0,0,3294332,2388,528004,0,0,0,0,61277,150464,1,20,79,0,0,15.5053,0.992578
1649336169,4,0,0,3292836,2396,527940,0,0,0,0,54637,137712,5,20,74,0,0,15.5053,0.992578
1649336183,3,0,0,3293128,2404,527972,0,0,0,0,57630,142776,2,21,77,0,0,19.1299,1.2375
1649336197,2,0,0,3292860,2412,527988,0,0,0,0,57699,142986,1,17,81,0,0,15.3039,0.979688
1649336211,2,0,0,3293276,2420,527988,0,0,0,0,43753,129119,2,18,80,0,0,15.5053,0.992578
1649336225,3,0,0,3293056,2428,527980,0,0,0,0,43129,127536,2,22,76,0,0,18.9285,1.18594
1649336239,3,0,0,3292780,2436,528036,0,0,0,0,55980,138935,6,24,71,0,0,15.5053,0.992578
1649336253,4,0,0,3292908,2444,528036,0,0,0,0,57615,142765,2,23,76,0,0,14.9012,0.953906
1649336267,3,0,0,3293668,2452,528036,0,0,0,0,58759,144882,1,20,78,0,0,15.5053,0.966797
1649336281,3,0,0,3293104,2460,527948,0,0,0,0,58487,143302,2,21,77,0,0,15.3039,0.966797
1649336295,2,0,0,3292888,2468,527964,0,0,0,0,58209,142548,1,18,81,0,0,15.3039,0.979688
1649336309,2,0,0,3293308,2476,527980,0,0,0,0,46180,128593,4,21,75,0,0,15.3039,0.992578
1649336323,1,0,0,3293128,2484,528004,0,0,0,0,57893,143428,1,21,78,0,0,19.117,1.22461
1649336337,3,0,0,3293240,2492,528020,0,0,0,0,43646,128610,1,19,80,0,0,18.5258,1.16016
1649336351,4,0,0,3292916,2500,528020,0,0,0,0,57963,143195,2,20,78,0,0,18.9285,1.21172
1649336365,2,0,0,3293064,2508,527996,0,0,0,0,57676,142356,2,23,75,0,0,15.5053,0.992578
1649336379,3,0,0,3293012,2516,527996,0,0,0,0,53126,136824,6,22,72,0,0,15.5053,0.992578
1649336393,5,0,0,3292908,2524,527988,0,0,0,0,57499,142459,2,23,75,0,0,14.6998,0.953906
1649336407,4,0,0,3293172,2532,527988,0,0,0,0,57944,143003,3,23,75,0,0,15.5053,0.992578
1649336421,0,0,0,3292516,2540,528012,0,0,0,0,42969,127248,3,21,75,0,0,15.5053,0.992578
1649336435,2,0,0,3293036,2548,528036,0,0,0,0,57553,142476,2,25,73,0,0,15.5053,0.992578
1649336449,1,0,0,3293264,2556,528036,0,0,0,0,56239,138123,5,22,72,0,0,18.9285,1.19883
1649336463,1,0,0,3292752,2564,528012,0,0,0,0,58210,143234,2,26,73,0,0,15.3039,0.966797
1649336477,3,0,0,3293632,2572,528012,0,0,0,0,43104,127324,1,26,72,0,0,15.5053,0.979688
1649336491,5,0,0,3293064,2580,528012,0,0,0,0,51455,135641,2,25,73,0,0,15.3039,0.979688
1649336505,6,0,0,3293688,2588,528004,0,0,0,0,58653,144529,1,23,75,0,0,15.3039,0.979688
1649336519,5,0,0,3292884,2596,528004,0,0,0,0,54061,137238,5,20,74,0,0,15.7066,0.992578
1649336533,4,0,0,3293152,2604,528004,0,0,0,0,57672,142771,2,32,66,0,0,14.6998,0.953906
1649336547,3,0,0,3293488,2612,528004,0,0,0,0,57724,143092,1,23,76,0,0,15.3039,0.966797
1649336561,3,0,0,3293104,2620,527988,0,0,0,0,59363,146260,3,25,72,0,0,15.7066,1.00547
1649336575,1,0,0,3293324,2628,528020,0,0,0,0,58177,142714,2,23,75,0,0,14.6998,0.941016
1649336589,3,0,0,3293340,2636,528020,0,0,0,0,56402,138518,4,19,77,0,0,15.5053,0.992578
1649336603,3,0,0,3293568,2644,528020,0,0,0,0,57722,142352,1,23,76,0,0,15.3039,0.953906
1649336617,5,0,0,3294596,2652,528020,0,0,0,0,58404,144052,2,21,78,0,0,15.3039,0.966797
1649336631,2,0,0,3293360,2660,528020,0,0,0,0,57948,143018,2,22,76,0,0,15.3039,0.979688
1649336645,3,0,0,3293580,2668,528052,0,0,0,0,57431,141667,2,28,70,0,0,15.291,0.966797
1649336659,0,0,0,3292312,2676,528044,0,0,0,0,53693,135237,4,26,69,0,0,15.5053,0.992578
1649336673,3,0,0,3293148,2684,528044,0,0,0,0,60283,149415,3,17,80,0,0,14.4984,0.941016
1649336687,3,0,0,3293536,2692,528044,0,0,0,0,58508,143329,2,25,74,0,0,15.5053,0.992578
