timestamp,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,ES_SENSOR_KB_SENT,ES_SENSOR_KB_RECV
1649334581,5,0,0,3311064,3128,519820,0,0,0,0,55932,140687,3,20,77,0,0,15.5053,0.992578
1649334595,2,0,0,3311560,3140,519820,0,0,0,0,57505,142509,2,20,78,0,0,18.123,1.16016
1649334609,2,0,0,3311508,3148,519820,0,0,0,0,59657,148880,5,17,78,0,0,19.1299,1.22461
1649334623,4,0,0,3310712,3156,519820,0,0,0,0,58288,144073,2,19,79,0,0,15.5053,0.992578
1649334637,3,0,0,3311348,3164,519812,0,0,0,0,58393,144121,2,17,82,0,0,15.5053,0.979688
1649334651,5,0,0,3310812,3172,519812,0,0,0,0,57813,143280,2,24,74,0,0,15.5053,0.992578
1649334665,3,0,0,3311464,3180,519820,0,0,0,0,59415,146702,2,17,82,0,0,15.291,0.966797
1649334679,4,0,0,3310676,3188,519820,0,0,0,0,42932,126051,4,21,75,0,0,15.5053,0.992578
1649334693,1,0,0,3311936,3196,519820,0,0,0,0,58488,143321,1,19,79,0,0,15.3039,0.979688
1649334707,5,0,0,3311440,3204,519820,0,0,0,0,58101,142339,2,18,80,0,0,15.3039,0.966797
1649334721,4,0,0,3311912,3212,519812,0,0,0,0,59894,146989,2,19,78,0,0,15.3039,0.979688
1649334735,4,0,0,3311576,3220,519804,0,0,0,0,53815,137453,1,23,77,0,0,18.123,1.16016
1649334749,2,0,0,3311300,3228,519820,0,0,0,0,52915,133322,6,21,73,0,0,15.3039,0.979688
1649334763,4,0,0,3310948,3236,519828,0,0,0,0,57777,143236,2,20,79,0,0,15.7066,1.00547
1649334777,4,0,0,3311176,3244,519828,0,0,0,0,58120,143706,1,21,78,0,0,15.3039,0.966797
1649334791,3,0,0,3311104,3252,519828,0,0,0,0,59117,144234,1,21,78,0,0,19.1299,1.22461
1649334805,2,0,0,3311136,3260,519828,0,0,0,0,58137,143262,2,25,73,0,0,14.4984,0.928125
1649334819,3,0,0,3310852,3268,519828,0,0,0,0,55897,138808,5,21,74,0,0,15.3039,0.979688
1649334833,4,0,0,3311012,3276,519828,0,0,0,0,57592,142172,1,23,76,0,0,18.3244,1.18594
