timestamp,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,ES_SENSOR_KB_SENT,ES_SENSOR_KB_RECV
1649337276,3,0,0,3308880,2980,511576,0,0,0,0,43830,127637,2,17,81,0,0,15.5053,0.992578
1649337290,2,0,0,3306576,3176,511600,0,0,0,0,55762,138818,5,21,74,0,0,15.3039,0.992578
1649337304,3,0,0,3306980,3188,511608,0,0,0,8,64094,156668,2,16,81,0,0,14.9012,0.953906
1649337318,3,0,0,3272384,3328,540376,0,0,0,190,28930,109447,29,19,52,0,0,15.3039,0.979688
1649337332,5,3,0,3271620,3356,540364,0,0,2,2062,44168,128270,30,18,31,21,0,15.5053,0.979688
1649337346,4,2,0,3271360,3380,540388,0,0,0,0,43642,127033,30,21,19,29,0,18.9285,1.19883
1649337360,5,1,0,3271360,3384,540396,0,0,0,0,31271,120890,31,14,39,16,0,15.3039,0.992578
1649337393,4,1,0,3271564,3392,540396,0,0,0,0,43151,126860,30,22,35,13,0,18.123,1.16016
1649337408,5,1,0,3262864,3396,549384,0,0,0,0,43462,128584,30,20,33,17,0,15.5053,0.992578
1649337422,3,2,0,3253604,3404,558968,0,0,0,14,43957,127440,22,22,19,38,0,15.5053,0.979688
1649337436,2,2,0,3251872,3408,561172,0,0,0,0,44032,126934,31,20,19,30,0,15.3039,0.953906
1649337474,2,1,0,3242444,3424,570308,0,0,0,0,47051,138036,29,14,57,0,0,15.5053,0.992578
1649337488,5,1,0,3232500,3424,580276,0,0,0,0,43460,128000,31,19,37,14,0,18.9285,1.19883
1649337502,5,0,0,3221872,3444,590448,0,0,0,0,28230,110160,30,20,51,0,0,15.3039,0.979688
1649337516,6,1,0,3215952,3468,596564,0,0,0,0,43903,127736,31,19,37,14,0,15.5053,0.992578
1649337546,4,1,0,3208896,3480,603896,0,0,0,1774,43236,127762,30,20,37,14,0,15.3039,0.979688
1649337560,8,1,0,3199540,3488,612548,0,0,0,0,42599,125731,11,20,41,28,0,15.3039,0.979688
1649337574,3,2,0,3190692,3492,622140,0,0,0,24,28831,110899,11,23,38,27,0,14.4984,0.928125
1649337600,6,1,0,3188652,3500,623564,0,0,0,0,43202,127452,30,23,35,12,0,15.5053,0.979688
1649337615,4,1,0,3178128,3500,634268,0,0,0,0,43285,126678,32,17,30,21,0,14.4984,0.928125
1649337629,4,0,0,3170248,3524,641644,0,0,0,468,41133,124578,31,21,48,0,0,15.5053,0.992578
1649337643,5,0,0,3162384,3556,650184,0,0,0,8,45392,132136,29,19,50,1,0,14.4984,0.928125
1649337665,3,3,0,3155952,3572,656204,0,0,0,0,48595,133528,1,22,25,51,0,19.1299,1.21172
1649337679,7,2,0,3154688,3572,657072,0,0,0,0,47234,126121,25,22,19,34,0,15.5053,0.992578
1649337693,3,0,0,3151352,3600,660724,0,0,0,1292,52132,135511,13,20,31,36,0,19.1299,1.2375
1649337707,3,0,0,3141424,3624,670996,0,0,0,8,43958,127369,31,18,50,0,0,15.7066,0.979688
1649337721,1,2,0,3132092,3648,680660,0,0,0,14,43823,127315,23,17,47,13,0,15.5053,0.992578
1649337735,4,2,0,3128872,3664,683280,0,0,0,0,43905,128285,1,20,43,36,0,14.6998,0.941016
1649337749,5,2,0,3128260,3664,683276,0,0,0,0,56632,139199,5,20,32,42,0,15.5053,0.992578
1649337763,4,3,0,3128552,3664,683276,0,0,0,0,58930,145401,3,18,39,40,0,15.7066,0.992578
1649337777,7,1,0,3127428,3664,685096,0,0,0,0,44036,127952,28,26,27,19,0,18.9285,1.21172
1649337791,2,0,0,3117460,3692,695296,0,0,0,8,43778,127646,30,21,49,0,0,15.7066,1.00547
1649337825,5,1,0,3105736,3716,706640,0,0,0,0,56271,141697,6,24,53,17,0,15.291,0.966797
1649337840,5,1,0,3095664,3716,717048,0,0,0,0,27214,104036,33,16,31,20,0,15.3039,0.979688
1649337854,4,0,0,3088196,3744,724444,0,0,0,8,43252,127814,30,22,48,0,0,14.4984,0.928125
1649337868,4,0,0,3082008,3772,730720,0,0,0,10,43858,127512,29,22,47,2,0,15.5053,0.992578
1649337884,3,1,0,3075456,3784,736768,0,0,0,0,43787,127848,39,15,29,17,0,19.1299,1.22461
1649337898,3,2,0,3070828,3800,741176,0,0,0,0,43147,127358,2,20,36,42,0,15.5053,0.992578
1649337912,3,2,0,3063860,3824,748468,0,0,0,0,43877,128276,1,14,33,52,0,15.5053,0.992578
1649337926,5,2,0,3055420,3856,757832,0,0,0,22,37533,120535,14,17,42,27,0,15.5053,0.966797
1649337983,4,0,0,3053232,3868,758756,0,0,0,14,49283,135708,20,17,45,18,0,15.7066,0.992578
1649337997,7,0,0,3043724,3892,768592,0,0,0,8,43343,128181,32,16,52,0,0,15.5053,0.992578
1649338032,1,1,0,3036028,3912,775816,0,0,0,278,43253,127549,4,24,35,37,0,15.5053,0.992578
