timestamp,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,ES_SENSOR_KB_SENT,ES_SENSOR_KB_RECV
1649341148,1,0,0,2971024,4284,837024,0,0,0,0,47910,131918,2,23,76,0,0,15.5053,0.992578
1649341162,2,0,0,2970496,4292,837056,0,0,0,0,43491,127687,1,22,77,0,0,15.7066,0.992578
1649341176,4,1,0,2969364,4408,837056,0,0,0,20,58418,143156,2,22,66,10,0,15.1025,0.966797
1649341190,3,0,0,2970284,4552,837048,0,0,0,0,56432,139893,5,22,73,0,0,15.7066,1.00547
1649341204,1,0,0,3212680,4596,587416,0,0,0,0,37727,120633,20,31,48,0,0,15.3039,0.966797
1649341218,5,0,0,3212088,4616,587472,0,0,0,0,43833,127960,21,30,49,0,0,15.5053,0.979688
1649341232,1,0,0,3218560,4624,587460,0,0,0,0,57686,142351,1,20,79,0,0,15.5053,0.992578
1649341246,5,0,0,3217244,4640,587484,0,0,0,8,43193,126476,2,19,78,1,0,18.7271,1.19883
1649341260,4,0,0,3208788,4648,587468,0,0,0,0,35840,114240,24,31,45,0,0,19.1299,1.22461
1649341274,4,0,0,3215268,4656,587524,0,0,0,0,43327,127772,6,22,72,0,0,15.1025,0.966797
1649341288,2,0,0,3215560,4664,587524,0,0,0,2,59001,144134,2,27,71,0,0,15.3039,0.979688
1649341302,1,0,0,3210456,4672,587532,0,0,0,0,39870,122374,22,31,48,0,0,19.1299,1.22461
1649341316,4,0,0,3208676,4680,587508,0,0,0,0,28370,110295,20,29,50,0,0,14.4984,0.928125
1649341330,2,0,0,3215716,4688,587532,0,0,0,0,51710,132374,6,21,73,0,0,15.5053,0.992578
1649341344,3,0,0,3215920,4696,587532,0,0,0,0,43813,127432,3,18,79,0,0,15.5053,0.992578
1649341358,9,0,0,3204608,4704,586436,0,0,0,0,28329,104132,57,37,6,0,0,15.5053,0.992578
1649341445,5,0,0,3204784,4724,586452,0,0,0,2,28630,107480,48,43,10,0,0,15.3039,0.979688
1649341460,0,0,0,3215192,4748,574392,0,0,0,24,25429,101685,54,41,5,0,0,15.3039,0.966797
1649341486,3,2,0,3216440,4764,574392,0,0,0,0,48928,138629,15,28,22,35,0,14.6998,0.941016
1649341503,9,0,0,3220836,4788,569948,0,0,0,6,34820,115467,50,42,8,0,0,15.1025,0.966797
1649341517,4,2,0,3230048,4808,561924,0,0,0,24,17401,89711,53,38,8,1,0,18.0973,1.0957
1649341556,8,3,0,3230764,4808,561928,0,0,0,0,34378,115615,30,36,28,6,0,14.9012,0.941016
1649341570,7,3,0,3228000,4808,561928,0,0,0,0,29599,105434,34,43,6,16,0,15.3039,0.979688
1649341584,5,3,0,3227196,4808,561948,0,0,0,0,32474,114106,31,45,4,21,0,15.3039,0.979688
1649341598,5,0,0,3233464,4820,561936,0,0,0,796,30663,119609,33,36,25,5,0,14.9012,0.953906
1649341612,8,0,0,3233844,4824,561936,0,0,0,0,28845,109752,32,43,25,0,0,15.5053,0.992578
1649341626,6,0,0,3233624,4832,561936,0,0,0,0,42850,126679,20,34,47,0,0,18.7271,1.18594
1649341640,1,1,0,3234252,4840,561936,0,0,0,0,33827,109096,26,25,31,18,0,18.9285,1.21172
1649341654,3,0,0,3233576,4848,561936,0,0,0,0,42953,128983,21,26,53,0,0,14.2971,0.915234
1649341668,2,0,0,3234276,4856,561928,0,0,0,0,43717,127873,20,30,50,0,0,15.3039,0.979688
1649341682,2,0,0,3233144,4864,561928,0,0,0,0,29253,112836,20,27,53,0,0,15.3039,0.992578
1649341696,4,0,0,3234060,4872,561928,0,0,0,0,32530,115919,20,29,50,0,0,15.1025,0.966797
1649341710,4,0,0,3233996,4880,561936,0,0,0,0,41668,124669,26,29,45,0,0,15.3039,0.979688
1649341724,1,0,0,3234420,4888,561936,0,0,0,0,41211,125749,18,34,48,0,0,14.9012,0.941016
1649341738,5,0,0,3235072,4896,561936,0,0,0,0,43848,127769,19,31,50,0,0,15.3039,0.979688
1649341752,5,0,0,3233428,4904,561928,0,0,0,0,28236,108099,22,28,50,0,0,18.7271,1.19883
1649341766,6,0,0,3233964,4912,561928,0,0,0,0,44229,130184,23,26,51,0,0,15.4924,0.966797
1649341780,3,0,0,3226700,4920,570048,0,0,0,0,34619,114911,24,29,47,0,0,15.3039,0.966797
1649341794,7,0,0,3226452,4928,570048,0,0,0,0,43114,128716,21,32,47,0,0,13.8943,0.902344
1649341808,3,0,0,3227048,4936,570048,0,0,0,0,43668,127821,22,27,51,0,0,18.7143,1.16016
1649341822,4,0,0,3226200,4944,570048,0,0,0,0,44135,129105,22,28,50,0,0,15.3039,0.979688
1649341836,4,0,0,3232316,4952,570056,0,0,0,0,59347,143961,2,22,76,0,0,15.5053,0.992578
1649341850,3,0,0,3232336,4960,570056,0,0,0,0,56591,139809,5,18,77,0,0,19.1299,1.22461
1649341864,2,0,0,3225988,4968,570056,0,0,0,0,37651,120554,23,30,47,0,0,15.3039,0.953906
1649341878,0,0,0,3232472,4976,570056,0,0,0,0,43918,127728,1,21,78,0,0,17.9217,1.14727
1649341892,2,0,0,3233180,4984,570060,0,0,0,0,58110,142360,1,19,80,0,0,15.3039,0.979688
1649341906,1,0,0,3225892,4992,570052,0,0,0,0,29274,113037,19,30,51,0,0,15.3039,0.979688
1649341920,6,0,0,3225112,5000,570052,0,0,0,0,35386,111957,25,28,48,0,0,15.3039,0.979688
1649341934,1,0,0,3231932,5008,570052,0,0,0,4,54134,139766,2,24,74,0,0,15.5053,0.979688
1649341948,3,0,0,3232800,5016,570044,0,0,0,0,58604,144335,2,24,75,0,0,19.1299,1.22461
1649341962,1,0,0,3227264,5024,570044,0,0,0,0,43731,127324,22,29,50,0,0,18.9285,1.21172
1649341976,6,0,0,3231880,5032,570044,0,0,0,0,43331,127597,11,29,60,0,0,14.2971,0.915234
1649341990,2,0,0,3232264,5040,570044,0,0,0,0,55945,137806,5,23,72,0,0,15.5053,0.979688
1649342004,5,0,0,3227816,5048,570044,0,0,0,0,43103,127634,21,31,49,0,0,18.3244,1.18594
1649342018,1,0,0,3226088,5056,570044,0,0,0,0,31485,115656,18,28,53,0,0,15.3039,0.979688
1649342032,3,0,0,3232504,5064,570044,0,0,0,0,58023,143360,1,20,79,0,0,19.1299,1.22461
1649342046,3,0,0,3232504,5072,570044,0,0,0,0,57576,142184,1,20,79,0,0,19.1299,1.22461
1649342060,8,0,0,3225840,5080,570044,0,0,0,0,35620,116781,24,31,46,0,0,15.5053,0.979688
1649342074,4,0,0,3224764,5088,570048,0,0,0,0,43920,128075,21,33,46,0,0,15.3039,0.966797
1649342088,2,0,0,3231936,5096,570044,0,0,0,0,58536,143278,2,20,78,0,0,15.5053,0.992578
1649342102,4,0,0,3229100,5104,570044,0,0,0,0,55060,139100,6,24,69,0,0,15.5053,0.992578
1649342116,3,0,0,3225636,5112,570052,0,0,0,0,29479,110867,22,27,51,0,0,14.6998,0.941016
1649342130,5,0,0,3231868,5120,570052,0,0,0,0,43288,126329,6,23,71,0,0,18.5258,1.18594
1649342144,4,0,0,3231592,5128,570052,0,0,0,0,58172,142864,1,21,78,0,0,14.4984,0.941016
1649342158,2,0,0,3226792,5136,570052,0,0,0,0,44044,128377,22,28,50,0,0,15.5053,0.992578
1649342172,4,0,0,3225204,5144,570044,0,0,0,0,28172,116022,20,26,54,0,0,15.5053,0.992578
1649342186,0,0,0,3231904,5152,570044,0,0,0,0,43531,127848,2,20,78,0,0,15.5053,0.992578
1649342200,3,0,0,3231872,5160,570044,0,0,0,0,49278,130168,5,24,72,0,0,15.3039,0.979688
1649342214,4,0,0,3225940,5168,570044,0,0,0,0,35304,116815,20,30,50,0,0,15.3039,0.953906
