timestamp,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,ES_SENSOR_KB_SENT,ES_SENSOR_KB_RECV
1649424921,2,0,0,3552740,17240,257008,0,0,0,68,57748,142275,1,24,75,0,0,14.6998,0.953906
1649424935,0,0,0,3552096,17248,257024,0,0,0,0,28927,111241,2,15,84,0,0,15.3039,0.979688
1649424949,4,0,0,3552820,17264,256928,0,0,0,14,58419,143870,3,22,63,12,0,15.5053,0.992578
1649424963,2,0,0,3552292,17264,257052,0,0,0,8,57906,142022,3,20,77,0,0,15.5053,0.992578
1649424977,2,1,0,3547136,17760,259288,0,0,0,24,47437,130165,4,17,62,16,0,15.3039,0.992578
1649424991,1,0,0,3549580,17780,259280,0,0,4,0,44034,127778,2,19,79,0,0,15.3039,0.966797
1649425005,3,0,0,3549984,17788,259312,0,0,0,0,62841,154693,3,15,82,0,0,19.1299,1.19883
1649425019,2,0,0,3549944,17804,259296,0,0,0,12,59147,144519,1,22,77,0,0,19.1299,1.22461
1649425033,0,0,0,3549944,17808,259304,0,0,0,0,53377,137980,1,22,77,0,0,19.1299,1.21172
1649425047,3,0,0,3549568,17816,259304,0,0,0,0,51997,135225,5,20,75,0,0,19.1299,1.22461
1649425061,2,0,0,3549672,17828,259320,0,0,0,0,63211,155772,1,13,85,0,0,15.291,0.953906
1649425075,2,0,0,3549860,17836,259232,0,0,0,0,48413,132752,2,16,82,0,0,15.1025,0.953906
1649425089,5,0,0,3549740,17844,259304,0,0,0,0,46355,130974,3,22,74,0,0,15.3039,0.979688
1649425103,3,0,0,3549504,17852,259320,0,0,0,0,46550,130704,1,18,81,0,0,15.3039,0.966797
1649425117,3,0,0,3548940,17860,259340,0,0,0,0,60597,149013,5,14,81,0,0,15.5053,0.992578
1649425131,2,0,0,3547248,17876,259272,0,0,0,0,57469,142139,2,21,77,0,0,19.1299,1.2375
1649425145,1,0,0,3547216,17892,259352,0,0,0,12,57231,141484,2,24,74,0,0,15.1025,0.953906
1649425159,4,0,0,3546576,17904,259356,0,0,0,6,58046,143230,2,17,81,0,0,15.3039,0.979688
1649425173,1,0,0,3542672,18148,260592,0,0,0,0,30630,117071,29,14,57,0,0,14.6998,0.941016
1649425187,7,0,0,3534420,18216,260740,0,0,10,24,17190,88348,57,37,6,0,0,15.5053,0.979688
1649425201,7,0,0,3532256,18252,261052,0,0,0,26,16683,82505,58,35,7,0,0,18.5258,1.17305
1649425215,2,3,0,3532212,18256,261052,0,0,0,1688,28214,106494,35,41,5,18,0,15.1025,0.966797
1649425229,6,0,0,3531472,18268,262508,0,0,418,0,21677,98830,50,34,11,5,0,15.1025,0.953906
1649425243,7,2,0,3529652,18276,263148,0,0,128,0,14749,89855,39,36,15,9,0,14.4855,0.891797
1649425257,7,1,0,3535340,18276,263224,0,0,0,2266,27774,107162,35,44,12,9,0,15.1025,0.966797
1649425296,7,1,0,3535368,18292,263124,0,0,0,6,28247,107151,31,45,24,0,0,18.123,1.17305
1649425310,5,0,0,3535396,18292,263132,0,0,0,0,28069,109311,31,44,26,0,0,15.1025,0.979688
1649425324,1,0,0,3535720,18300,263148,0,0,0,0,40617,122929,21,29,50,0,0,18.9285,1.18594
1649425338,3,0,0,3542436,18308,263148,0,0,0,0,43904,128887,5,22,73,0,0,15.5053,0.992578
1649425352,2,0,0,3542964,18316,263092,0,0,0,0,57571,142055,3,20,76,0,0,15.5053,0.992578
1649425366,4,0,0,3542940,18324,263124,0,0,0,0,58735,143574,2,23,75,0,0,15.3039,0.979688
1649425380,1,0,0,3542576,18332,263140,0,0,0,0,58365,142737,2,19,79,0,0,15.5053,0.992578
1649425394,5,0,0,3542668,18340,263156,0,0,0,0,58916,143927,2,21,77,0,0,15.3039,0.953906
1649425408,3,0,0,3544156,18348,263100,0,0,0,0,49589,131332,6,20,74,0,0,15.7066,0.992578
1649425422,1,0,0,3542832,18356,263148,0,0,0,0,59007,143493,2,20,78,0,0,18.9285,1.21172
1649425436,4,0,0,3542972,18364,263140,0,0,0,0,56851,141096,3,21,76,0,0,15.3039,0.966797
1649425450,1,0,0,3543540,18372,263132,0,0,0,0,56408,140939,2,19,79,0,0,15.5053,0.992578
1649425464,3,0,0,3543096,18380,263100,0,0,0,0,49802,133063,1,20,78,0,0,15.5053,0.992578
1649425478,1,0,0,3542948,18388,263132,0,0,0,0,53746,134961,6,17,77,0,0,18.9285,1.21172
1649425492,3,0,0,3543192,18396,263140,0,0,0,0,57551,142025,2,23,75,0,0,18.9285,1.21172
1649425506,4,0,0,3543072,18404,263140,0,0,0,0,58819,143641,2,22,76,0,0,18.9285,1.19883
1649425520,1,0,0,3542836,18412,263124,0,0,0,0,53194,139501,2,19,79,0,0,15.7066,1.00547
1649425534,4,0,0,3543364,18420,263124,0,0,0,0,45417,129208,2,21,77,0,0,15.3039,0.953906
1649425548,6,0,0,3543104,18428,263140,0,0,0,0,45780,127605,6,18,77,0,0,15.5053,0.992578
1649425562,2,0,0,3543388,18436,263140,0,0,0,0,58022,142194,3,25,72,0,0,15.3039,0.979688
1649425576,4,0,0,3543120,18444,263144,0,0,0,0,62188,152698,2,18,80,0,0,15.5053,0.992578
1649425590,2,0,0,3543352,18452,263160,0,0,0,0,51630,135553,2,14,83,0,0,15.5053,0.992578
1649425604,3,0,0,3543000,18460,263160,0,0,0,0,43337,127152,1,21,77,0,0,14.6998,0.941016
1649425618,4,0,0,3543164,18468,263160,0,0,0,0,56452,138935,6,22,72,0,0,18.9285,1.21172
1649425632,5,0,0,3543648,18476,263160,0,0,0,0,60914,150462,2,14,84,0,0,15.3039,0.966797
1649425646,1,0,0,3544152,18484,263144,0,0,0,0,44113,128698,2,15,83,0,0,15.5053,0.979688
1649425660,2,0,0,3544088,18492,263164,0,0,0,0,58180,142531,2,22,75,0,0,15.3039,0.979688
1649425674,3,0,0,3543868,18500,263168,0,0,0,0,42933,127183,2,20,78,0,0,15.3039,0.953906
1649425688,0,0,0,3544492,18508,263168,0,0,0,0,47058,133133,5,15,80,0,0,15.3039,0.979688
1649425702,4,0,0,3544192,18516,263148,0,0,0,0,58128,143442,2,22,76,0,0,15.3039,0.979688
1649425716,3,0,0,3543264,18524,263172,0,0,0,0,57599,142236,2,23,75,0,0,15.5053,0.992578
1649425730,2,0,0,3543816,18532,263164,0,0,0,0,57848,142672,2,22,76,0,0,15.3039,0.979688
1649425744,1,0,0,3543824,18540,263164,0,0,0,0,60092,147227,1,16,83,0,0,14.4984,0.928125
1649425758,6,0,0,3543068,18548,263144,0,0,0,0,43391,124362,4,18,78,0,0,15.3039,0.979688
1649425772,2,0,0,3543612,18556,263144,0,0,0,0,58475,143680,2,21,78,0,0,15.5053,0.992578
1649425786,3,0,0,3543532,18564,263144,0,0,0,0,57607,142075,2,27,72,0,0,15.5053,0.992578
1649425800,4,0,0,3543808,18572,263136,0,0,0,0,59504,147127,2,19,80,0,0,19.1299,1.22461
1649425814,3,0,0,3543856,18580,263128,0,0,0,0,57520,142522,1,19,80,0,0,15.5053,0.979688
1649425828,4,0,0,3543068,18588,263124,0,0,0,0,56148,138340,5,21,74,0,0,15.5053,0.992578
1649425842,3,0,0,3543572,18596,263124,0,0,0,0,43735,127958,1,18,81,0,0,18.123,1.16016
1649425856,4,0,0,3543548,18604,263124,0,0,0,0,58530,144119,3,22,75,0,0,15.3039,0.979688
1649425870,3,0,0,3543484,18612,263116,0,0,0,0,43197,127850,1,28,71,0,0,18.9285,1.21172
1649425884,1,0,0,3543704,18620,263148,0,0,0,0,57618,142037,3,23,74,0,0,18.123,1.16016
1649425898,2,0,0,3543796,18628,263148,0,0,0,0,56758,139884,5,19,76,0,0,15.5053,0.992578
1649425912,4,0,0,3543472,18636,263152,0,0,0,0,57554,142525,2,25,73,0,0,14.6998,0.941016
1649425926,3,0,0,3544260,18644,263164,0,0,0,0,57857,143396,1,24,75,0,0,15.5053,0.992578
1649425940,3,0,0,3543852,18652,263188,0,0,0,0,29406,112052,1,18,81,0,0,15.5053,0.992578
